Название,Жанр,Режиссёр,Страна,Год,URL
Как я встретил её маму,"приключенческая, комедия",Егор Сальников,Россия,2024,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BA_%D1%8F_%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%82%D0%B8%D0%BB_%D0%B5%D1%91_%D0%BC%D0%B0%D0%BC%D1%83
Райские птицы,драма,Роман Балаян,Украина,2008,https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B5_%D0%BF%D1%82%D0%B8%D1%86%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Райские холмы,"научное фэнтези, триллер",Элис Вэддингтон,Испания,2019,https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B5_%D1%85%D0%BE%D0%BB%D0%BC%D1%8B
Капитан Конан,"военный фильм, ,",Бертран Тавернье,Франция,1996,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD_%D0%9A%D0%BE%D0%BD%D0%B0%D0%BD
Капитан Крокус и тайна маленьких заговорщиков,"музыкальная, сказка, детский фильм, комедия, приключенческий фильм",Владимир Онищенко,СССР,1991,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD_%D0%9A%D1%80%D0%BE%D0%BA%D1%83%D1%81_%D0%B8_%D1%82%D0%B0%D0%B9%D0%BD%D0%B0_%D0%BC%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D1%85_%D0%B7%D0%B0%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%89%D0%B8%D0%BA%D0%BE%D0%B2
Революцию не покажут по телевизору,документальный,"Ким Бартли, Дункан О'Брайен",Ирландия,2003,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8E_%D0%BD%D0%B5_%D0%BF%D0%BE%D0%BA%D0%B0%D0%B6%D1%83%D1%82_%D0%BF%D0%BE_%D1%82%D0%B5%D0%BB%D0%B5%D0%B2%D0%B8%D0%B7%D0%BE%D1%80%D1%83
Революционер,драма,Евгений Бауэр,Россия,1917,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D0%BE%D0%BD%D0%B5%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1917)"
Революционер,боевик,Дипак Шивдасани,Индия,1990,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D0%BE%D0%BD%D0%B5%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1990)"
Иллюзия обмана 2,"экшен, приключенческий фильм, комедия, музыка к фильму",Джон М. Чу,США,2016,https://ru.wikipedia.org/wiki/%D0%98%D0%BB%D0%BB%D1%8E%D0%B7%D0%B8%D1%8F_%D0%BE%D0%B1%D0%BC%D0%B0%D0%BD%D0%B0_2
Чёрная орхидея,"детектив, неонуар",Брайан Де Пальма,США Франция Германия,2006,"https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D0%B0%D1%8F_%D0%BE%D1%80%D1%85%D0%B8%D0%B4%D0%B5%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2006)"
Чёрный чемодан — двойная игра,"фильм-триллер, , , , фильм-тайна, , шпионский фильм, , драматический фильм,",Стивен Содерберг,США,2025,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%87%D0%B5%D0%BC%D0%BE%D0%B4%D0%B0%D0%BD_%E2%80%94_%D0%B4%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B8%D0%B3%D1%80%D0%B0
Чёрный шар,драма,Элисса Даун,Австралия Великобритания,2008,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%88%D0%B0%D1%80
Чёрный шарик,"драма, романтическая комедия",Гарольд Беккер,США,1980,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%88%D0%B0%D1%80%D0%B8%D0%BA
Чёрный чай,"драма, мелодрама",Абдеррахман Сисако,Франция Мавритания Люксембург Тайвань Кот-д’Ивуар,2024,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%87%D0%B0%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Чёрный ход,драма,Леопольд Йеснер Пауль Лени,Германия,1921,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%85%D0%BE%D0%B4_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Роберт и Бертран,комедия,Мечислав Кравич,Польша,1938,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82_%D0%B8_%D0%91%D0%B5%D1%80%D1%82%D1%80%D0%B0%D0%BD
Чёрный фраер,"трэш, арт-хаус, драма, боевик, комедия, пародия",Глеб Михайлов,Россия,1999,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%84%D1%80%D0%B0%D0%B5%D1%80
Чёрный хлеб,драма,Агусти Вильяронга,Испания,2010,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%85%D0%BB%D0%B5%D0%B1_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Роберт Дауни-старший,документальный,Крис Смит,США,2022,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82_%D0%94%D0%B0%D1%83%D0%BD%D0%B8-%D1%81%D1%82%D0%B0%D1%80%D1%88%D0%B8%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Роберт — король Шотландии,исторический фильм,Ричард Грей,США,2019,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B1%D0%B5%D1%80%D1%82_%E2%80%94_%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D1%8C_%D0%A8%D0%BE%D1%82%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D0%B8
Чёрный тюльпан,фильм плаща и шпаги,Кристиан-Жак,Франция Италия Испания,1964,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%82%D1%8E%D0%BB%D1%8C%D0%BF%D0%B0%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Робби,история взросления,Ralph C. Bluemke,США,1968,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B1%D0%B1%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
